year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,UAE,3.0,9,55,German,British,16,100842.0,11,no
2009,UAE,3.0,7,55,Polish,German,5,100520.0,11,no
2009,UAE,3.0,18,55,Finnish,British,2,100808.0,11,no
2009,UAE,3.0,11,55,Finnish,Italian,4,101100.0,11,no
2009,UAE,3.0,13,55,Japanese,British,17,101096.0,11,no
2009,UAE,3.0,15,55,Spanish,French,7,101667.0,11,no
2009,UAE,3.0,16,55,Italian,Indian,21,101701.0,11,no
2009,UAE,3.0,20,54,Italian,Italian,3,102184.0,11,no
2009,UAE,3.0,17,54,German,Indian,20,101836.0,11,no
2009,UAE,3.0,19,54,French,French,8,101950.0,11,no
2009,UAE,3.0,1,20,British,British,1,99873.0,11,no
2009,UAE,3.0,14,18,Spanish,Italian,11,101503.0,11,no
2008,Australia,10.0,1,58,British,British,22,86572.0,3,yes
2008,Australia,10.0,5,58,German,German,3,85960.0,3,yes
2008,Australia,10.0,7,58,German,British,7,86295.0,3,yes
2008,Australia,10.0,11,58,Spanish,French,5,86907.0,3,no
2008,Australia,10.0,3,58,Finnish,British,23,85664.0,3,no
2008,Australia,10.0,13,57,Japanese,British,8,86891.0,3,no
2008,Australia,10.0,17,55,French,Italian,14,87446.0,3,no
2008,Australia,10.0,15,53,Finnish,Italian,1,86140.0,3,no
2008,Australia,10.0,2,47,Polish,German,4,86103.0,3,no
2008,Australia,10.0,18,43,German,Japanese,12,86919.0,3,no
2008,Australia,10.0,19,32,Japanese,Japanese,18,88208.0,3,no
2008,Australia,10.0,20,30,Brazilian,French,6,88330.0,3,no
2008,Australia,10.0,4,29,Brazilian,Italian,2,85994.0,3,no
2008,Australia,10.0,8,25,British,Austrian,9,86381.0,3,no
2008,Australia,10.0,6,19,Italian,Japanese,11,86427.0,3,no
2008,Australia,10.0,22,8,German,Indian,20,87859.0,3,no
2008,Australia,10.0,14,0,Australian,Austrian,10,86914.0,3,no
2008,Australia,10.0,12,0,British,Japanese,16,86712.0,3,no
2008,Australia,10.0,21,0,British,Japanese,19,89059.0,3,no
2008,Australia,10.0,9,0,German,Italian,15,86702.0,3,no
2008,Australia,10.0,16,0,Italian,Indian,21,87207.0,3,no
2008,Australia,10.0,10,58,Brazilian,Japanese,17,86369.0,3,no
2008,Malaysia,18.0,2,56,Finnish,Italian,1,95645.0,3,yes
2008,Malaysia,18.0,4,56,Polish,German,4,95794.0,3,yes
2008,Malaysia,18.0,8,56,Finnish,British,23,95227.0,3,yes
2008,Malaysia,18.0,3,56,Italian,Japanese,11,95205.0,3,no
2008,Malaysia,18.0,9,56,British,British,22,95392.0,3,no
2008,Malaysia,18.0,5,56,German,German,3,95729.0,3,no
2008,Malaysia,18.0,6,56,Australian,Austrian,10,95440.0,3,no
2008,Malaysia,18.0,7,56,Spanish,French,5,95983.0,3,no
2008,Malaysia,18.0,12,56,British,Austrian,9,96058.0,3,no
2008,Malaysia,18.0,11,56,British,Japanese,16,95847.0,3,no
2008,Malaysia,18.0,13,56,Brazilian,French,6,96074.0,3,no
2008,Malaysia,18.0,17,55,Italian,Indian,21,96240.0,3,no
2008,Malaysia,18.0,14,55,Brazilian,Japanese,17,96198.0,3,no
2008,Malaysia,18.0,16,55,German,British,7,95843.0,3,no
2008,Malaysia,18.0,21,55,British,Japanese,19,97481.0,3,no
2008,Malaysia,18.0,19,54,Japanese,Japanese,18,97087.0,3,no
2008,Malaysia,18.0,22,54,Japanese,British,8,96388.0,3,no
2008,Malaysia,18.0,15,39,German,Italian,15,96111.0,3,no
2008,Malaysia,18.0,1,30,Brazilian,Italian,2,95347.0,3,no
2008,Malaysia,18.0,20,5,German,Indian,20,97101.0,3,no
2008,Malaysia,18.0,10,1,German,Japanese,12,95891.0,3,no
2008,Malaysia,18.0,18,0,French,Italian,14,96677.0,3,no
2008,Bahrain,7.0,2,57,Brazilian,Italian,2,91937.0,4,yes
2008,Bahrain,7.0,4,57,Finnish,Italian,1,92652.0,4,yes
2008,Bahrain,7.0,1,57,Polish,German,4,92893.0,4,yes
2008,Bahrain,7.0,6,57,German,German,3,93137.0,4,no
2008,Bahrain,7.0,5,57,Finnish,British,23,93057.0,4,no
2008,Bahrain,7.0,7,57,Italian,Japanese,11,92493.0,4,no
2008,Bahrain,7.0,11,57,Australian,Austrian,10,93194.0,4,no
2008,Bahrain,7.0,8,57,German,British,7,92903.0,4,no
2008,Bahrain,7.0,13,57,German,Japanese,12,92800.0,4,no
2008,Bahrain,7.0,10,57,Spanish,French,5,92947.0,4,no
2008,Bahrain,7.0,12,57,Brazilian,Japanese,17,92944.0,4,no
2008,Bahrain,7.0,18,56,Italian,Indian,21,93501.0,4,no
2008,Bahrain,7.0,3,56,British,British,22,92750.0,4,no
2008,Bahrain,7.0,16,56,Japanese,British,8,93386.0,4,no
2008,Bahrain,7.0,15,56,French,Italian,14,93415.0,4,no
2008,Bahrain,7.0,21,56,British,Japanese,19,94140.0,4,no
2008,Bahrain,7.0,22,56,Japanese,Japanese,18,95725.0,4,no
2008,Bahrain,7.0,17,56,British,Austrian,9,93433.0,4,no
2008,Bahrain,7.0,20,56,German,Indian,20,93845.0,4,no
2008,Bahrain,7.0,14,40,Brazilian,French,6,92975.0,4,no
2008,Bahrain,7.0,9,19,British,Japanese,16,92793.0,4,no
2008,Bahrain,7.0,19,0,German,Italian,15,93562.0,4,no
2008,Spain,109.0,1,66,Finnish,Italian,1,80701.0,4,yes
